A
AA
AAPL
ABC
ABT
ACE
ADBE
ADI
ADM
ADP
ADSK
AEE
AEP
AES
AET
AFL
AGN
AIG
AIV
AIZ
AKAM
AKS
ALL
ALTR
AMAT
AMD
AMGN
AMP
AMT
AMZN
AN
ANF
AON
APA
APC
APD
APH
APOL
ARG
ATI
AVB
AVP
AVY
AXP
AYE
AZO
BA
BAC
BAX
BBBY
BBT
BBY
BCR
BDX
BEN
BF.B
BHI
BIG
BIIB
BK
BLL
BMC
BMS
BMY
BRCM
BRK.B
BSX
BTU
BXP
C
CA
CAG
CAH
CAM
CAT
CB
CBG
CBS
CCE
CCL
CEG
CELG
CEPH
CERN
CF
CFN
CHK
CHRW
CI
CINF
CL
CLF
CLX
CMA
CMCSA
CME
CMI
CMS
CNP
CNX
COF
COG
COH
COL
COP
COST
CPB
CPWR
CRM
CSC
CSCO
CSX
CTAS
CTL
CTSH
CTXS
CVH
CVS
CVX
D
DD
DE
DELL
DF
DFS
DGX
DHI
DHR
DIS
DISCA
DNB
DNR
DO
DOV
DOW
DPS
DRI
DTE
DTV
DUK
DV
DVA
DVN
EBAY
ECL
ED
EFX
EIX
EK
EL
EMC
EMN
EMR
EOG
EP
EQR
EQT
ERTS
ESRX
ETFC
ETN
ETR
EXC
EXPD
EXPE
F
FAST
FCX
FDO
FDX
FE
FHN
FII
FIS
FISV
FITB
FLIR
FLR
FLS
FMC
FO
FRX
FSLR
FTI
FTR
GAS
GCI
GD
GE
GENZ
GILD
GIS
GLW
GME
GNW
GOOG
GPC
GPS
GR
GS
GT
GWW
HAL
HAR
HAS
HBAN
HCBK
HCN
HCP
HD
HES
HIG
HNZ
HOG
HON
HOT
HP
HPQ
HRB
HRL
HRS
HSP
HST
HSY
HUM
IBM
ICE
IFF
IGT
INTC
INTU
IP
IPG
IR
IRM
ISRG
ITT
ITW
IVZ
JBL
JCI
JCP
JDSU
JEC
JNJ
JNPR
JNS
JPM
JWN
K
KEY
KFT
KG
KIM
KLAC
KMB
KMX
KO
KR
KSS
L
LEG
LEN
LH
LIFE
LLL
LLTC
LLY
LM
LMT
LNC
LO
LOW
LSI
LTD
LUK
LUV
LXK
M
MA
MAR
MAS
MAT
MCD
MCHP
MCK
MCO
MDP
MDT
MEE
MET
MFE
MHP
MHS
MI
MJN
MKC
MMC
MMM
MO
MOLX
MON
MOT
MRK
MRO
MS
MSFT
MTB
MU
MUR
MWV
MWW
MYL
NBL
NBR
NDAQ
NEE
NEM
NI
NKE
NOC
NOV
NOVL
NRG
NSC
NSM
NTAP
NTRS
NU
NUE
NVDA
NVLS
NWL
NWSA
NYT
NYX
ODP
OI
OKE
OMC
ORCL
ORLY
OXY
PAYX
PBCT
PBI
PCAR
PCG
PCL
PCLN
PCP
PCS
PDCO
PEG
PEP
PFE
PFG
PG
PGN
PGR
PH
PHM
PKI
PLD
PLL
PM
PNC
PNW
POM
PPG
PPL
PRU
PSA
PWR
PX
PXD
Q
QCOM
QEP
QLGC
R
RAI
RDC
RF
RHI
RHT
RL
ROK
ROP
ROST
RRC
RRD
RSG
RSH
RTN
S
SAI
SBUX
SCG
SCHW
SE
SEE
SHLD
SHW
SIAL
SJM
SLB
SLE
SLM
SNA
SNDK
SNI
SO
SPG
SPLS
SRCL
SRE
STI
STJ
STT
STZ
SUN
SVU
SWK
SWN
SWY
SYK
SYMC
SYY
T
TAP
TDC
TE
TEG
TER
TGT
THC
TIE
TIF
TJX
TLAB
TMK
TMO
TROW
TRV
TSN
TSO
TSS
TWC
TWX
TXN
TXT
TYC
UNH
UNM
UNP
UPS
URBN
USB
UTX
V
VAR
VFC
VIA.B
VLO
VMC
VNO
VRSN
VTR
VZ
WAG
WAT
WDC
WEC
WFC
WFMI
WFR
WHR
WIN
WLP
WM
WMB
WMT
WPI
WPO
WU
WY
WYN
WYNN
X
XEL
XL
XLNX
XOM
XRAY
XRX
YHOO
YUM
ZION
ZMH

