Year,Month,Day,SPY,XOM,GOOG,GLD
2008,1,2,137.67,87.81,685.19,84.86
2008,1,3,137.6,88.11,685.33,85.57
2008,1,4,134.23,86.47,657,85.13
2008,1,7,134.11,85.66,649.25,84.77
2008,1,8,131.95,84.56,631.68,86.78
2008,1,9,133.34,85.98,653.2,86.55
2008,1,10,134.21,86.08,646.73,88.25
2008,1,11,133.13,84.8,638.25,88.58
2008,1,14,134.2,85.3,653.82,89.54
2008,1,15,131.25,83.6,637.65,87.99
2008,1,16,130.11,81.26,615.95,86.7
2008,1,17,126.74,78.8,600.79,86.5
2008,1,18,125.44,79.9,600.25,87.42
2008,1,22,124.17,77.43,584.35,88.17
2008,1,23,127.15,78.37,548.62,87.89
2008,1,24,128.22,80.76,574.49,90.08
2008,1,25,126.37,78.83,566.4,90.3
2008,1,28,128.46,79.94,555.98,91.75
2008,1,29,129.1,79.9,550.52,91.15
2008,1,30,128.15,80.08,548.27,92.06
2008,1,31,130.49,80.48,564.3,91.4
2008,2,1,132.58,80.71,515.9,89.35
2008,2,4,130.91,80.23,495.43,89.1
2008,2,5,127.41,77.11,506.8,87.68
2008,2,6,126.38,76.48,501.71,88.95
2008,2,7,127.22,77.23,504.95,89.85
2008,2,8,126.4,77.06,516.69,91
2008,2,11,127.05,78.49,521.16,91.33
2008,2,12,128.22,79.58,518.09,89.33
2008,2,13,129.54,80.63,534.62,89.44
2008,2,14,128.4,80.68,532.25,89.71
2008,2,15,128.37,80.51,529.64,89.15
2008,2,19,128.73,82.06,508.95,91.58
2008,2,20,129.11,83.09,509,93.24
2008,2,21,128.03,81.98,502.86,93.25
2008,2,22,128.82,82.21,507.8,93.39
2008,2,25,130.45,84.06,486.44,92.74
2008,2,26,131.43,84.78,464.19,93.71
2008,2,27,131.29,84.31,472.86,94.78
2008,2,28,130.01,84.3,475.39,95.99
2008,2,29,127.11,82.06,471.18,96.18
2008,3,3,126.81,82.76,457.02,97.24
2008,3,4,126.32,81.76,444.6,95.18
2008,3,5,127.12,82.23,447.7,97.72
2008,3,6,124.49,79.7,432.7,96.5
2008,3,7,123.21,77.8,433.35,96.09
2008,3,10,121.58,77.77,413.62,95.87
2008,3,11,125.95,81.75,439.84,95.99
2008,3,12,124.78,81.08,440.18,97.01
2008,3,13,125.05,82.1,443.01,98.34
2008,3,14,123.11,81.02,437.92,98.71
2008,3,17,121.87,80.91,419.87,99.17
2008,3,18,126.93,83.44,439.16,96.5
2008,3,19,123.79,79.63,432,93.04
2008,3,20,126.08,80.17,433.55,89.91
2008,3,24,128.6,81.06,460.56,90.1
2008,3,25,128.73,80.35,450.78,92.73
2008,3,26,127.15,81.35,458.19,93.8
2008,3,27,126.75,81.3,444.08,93.46
2008,3,28,125.54,80.37,438.08,91.88
2008,3,31,125.98,79.77,440.47,90.41
2008,4,1,130.41,82.07,465.71,86.86
2008,4,2,130.49,83.49,465.7,89.27
2008,4,3,130.82,83.21,455.12,89.42
2008,4,4,130.67,83.69,471.09,90.25
2008,4,7,130.74,83.86,476.82,91.17
2008,4,8,130.61,84.51,467.81,90.35
2008,4,9,129.66,84.6,464.19,92.29
2008,4,10,129.84,84.46,469.08,91.77
2008,4,11,127.32,83.58,457.45,91.3
2008,4,14,126.89,84.6,451.66,91.11
2008,4,15,127.19,85.64,446.84,91.66
2008,4,16,130.63,87.61,455.03,93.27
2008,4,17,130.83,88.07,449.54,92.56
2008,4,18,132.19,88.65,539.41,90.62
2008,4,21,132.26,88.9,537.79,90.25
2008,4,22,131.68,89.02,555,90.27
2008,4,23,131.47,88.86,546.49,89.22
2008,4,24,132.04,87.33,543.04,87.22
2008,4,25,133.26,87.2,544.06,87.27
2008,4,28,133.29,87.19,552.12,87.69
2008,4,29,132.76,86.57,558.47,85.81
2008,4,30,131.98,87.78,574.29,86.65
2008,5,1,134.71,84.6,593.08,83.99
2008,5,2,135.08,84.51,581.29,84.58
2008,5,5,134.43,84.42,594.9,86.27
2008,5,6,135.6,84.95,586.36,86.63
2008,5,7,133.18,83.77,579,85.82
2008,5,8,132.84,84.82,583.01,87.24
2008,5,9,132.59,84.14,573.2,87.42
2008,5,12,134.08,84.49,584.94,86.99
2008,5,13,134.1,84.96,583,85.39
2008,5,14,134.38,85.18,576.3,85.2
2008,5,15,136.06,86.49,581,87
